Feature,Importance
lights,0.05656793126287324
T1,0.023714904063505373
RH_1,0.0314178950315827
T2,0.030869726526266173
RH_2,0.03025662335018575
T3,0.032694515483208925
RH_3,0.02559824552332033
T4,0.029308737809681063
RH_4,0.02123780347738104
T5,0.029094524288308384
RH_5,0.03207175213156052
T6,0.027462648709395382
RH_6,0.03157760313988005
T7,0.025155121675771542
RH_7,0.027014219009106923
T8,0.03744550937669113
RH_8,0.030321849759956897
T9,0.0302145057306993
RH_9,0.03363950722661097
T_out,0.023184402699062447
Press_mm_hg,0.03162734372446076
RH_out,0.033555496358136726
Windspeed,0.04552279198087847
Visibility,0.032863897334715786
Tdewpoint,0.02411274513135764
rv1,0.018165243748833725
rv2,0.018058042688774277
hour,0.15451161588155313
day_of_week,0.03273479687624134
